index,num,name,blog or review,blog name,like_count_list,command_count_list,img_count,neighber_count,blog review
110,66,배곧 카츠오모이,블로그 리뷰,"야들야들  ""돈카츠"" 안산시흥맛집 ""카츠오모이""",3,2,10,260,"['예전', '눈', '본', '집', '오']"
111,67,배곧 카츠오모이,블로그 리뷰,"[배곧돈카츠] 등심,안심돈카츠 맛집 배곧 카츠오모이",15,2,9,686,"['카츠', '모이', '번', '21', '호', '시간', '재료', '마감', '공지', '휴무']"
112,68,배곧 카츠오모이,블로그 리뷰,배곧 - 다시찾은 돈가스 지존 카츠오모이 ,12,11,7,227,[]
113,69,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 / 돈까스 맛집 2시간 웨이팅 후 먹어본 솔직후기,6,1,20,341,"['안녕하', '오', '둥이', '.', '오픈', '지', '시간', '재료', '마감', '돈까스', '저희', '우리']"
114,70,배곧 카츠오모이,블로그 리뷰,{시흥시 배곧 카츠오모이 / 시흥 배곧 돈까스 맛집 돈카츠 맛집},5,3,9,170,[]
115,71,배곧 카츠오모이,블로그 리뷰,"시흥 배곧 돈카츠 맛집 ""카츠오모이"" ★★★",1,0,8,96,['슐랭']
116,72,배곧 카츠오모이,블로그 리뷰,[배곧] 카츠오모이 돈까스 맛집 방문 후기 ,2,0,24,8,[]
117,73,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 솔직 후기,20,5,20,4317,[]
118,74,배곧 카츠오모이,블로그 리뷰,"시흥 배곧 :: 돈까스가 맛있는 ""카츠오모이"" [내돈내먹]",134,109,19,1615,[]
119,75,배곧 카츠오모이,블로그 리뷰,배곧신도시 맛집 카츠오모이 본점에 다녀왔습니다.,1,0,13,65,"['카츠', '모이는']"
120,76,배곧 카츠오모이,블로그 리뷰,돈까스 맛집 [카츠오모이],1,1,7,34,[]
121,77,배곧 카츠오모이,블로그 리뷰,"[배곧맛집] 웨이팅 해서먹는 배곧 카츠오모이 본점 : 2인세트 ,특등심 ",6,3,15,93,"['작년', '계속', '와서', '해야지', '이제야', '하는', '사랑', '오', '내']"
122,78,배곧 카츠오모이,블로그 리뷰,추억의 따브류와 돈까스 투어,13,9,31,226,['육지']
123,79,배곧 카츠오모이,블로그 리뷰,배곧맛집 드디어 먹었습니다 카츠오모이!(+꿀팁),4,0,14,33,['입']
124,80,배곧 카츠오모이,블로그 리뷰,"[배곧] 품절되서 못먹는, 믿고 먹는 돈가스 맛집 카츠오모이 :)",3,0,60,251,[]
125,81,배곧 카츠오모이,블로그 리뷰,배곧 인생 돈가스 맛집 ☆카츠오모이☆,4,2,15,227,[]
126,82,배곧 카츠오모이,블로그 리뷰,시흥 돈카츠맛집 [배곧신도시 카츠오모이 본점],8,10,10,31,[]
127,83,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠 오모이!!,0,4,4,1,"['일', '친', '누나', '추천', '오']"
128,84,배곧 카츠오모이,블로그 리뷰,[배곧 맛집] 줄 서서 먹는 인생 돈가스 맛집 카츠오모이 & 배곧 분위기 좋은 카페 윌로우 우드,4,0,10,17,[]
130,2,배곧 양푼애등갈비,블로그 리뷰,시흥에도 떴다! 안산 양푼에 등갈비 배곧점,68,83,26,3065,[]
132,4,배곧 양푼애등갈비,블로그 리뷰,시흥 배곧 맛집 언제 먹어도 맛있잖아! ,10,2,26,1527,"['아침', '일어난', '말', '이라고']"
133,5,배곧 양푼애등갈비,블로그 리뷰,요즘 인기 있는 시흥 배곧 맛집,12,2,29,1753,"['상호', '애', '갈비']"
134,6,배곧 양푼애등갈비,블로그 리뷰,든든했던 배곧 고기집,2,4,27,159,['지난']
135,7,배곧 양푼애등갈비,블로그 리뷰,[배곧] 매운등갈비 맛집 양푼애등갈비 :: 맵찔이도 가능한 덜매운맛,10,6,15,386,[]
136,8,배곧 양푼애등갈비,블로그 리뷰,"배곧 매운 등갈비, 갈비찜 맛집 '양푼애등갈비'",6,0,6,1147,[]
137,9,배곧 양푼애등갈비,블로그 리뷰,[시흥/배곧 맛집] 양푼애등갈비 : 매운등갈비/갈비찜/가격/위치,2,4,28,34,[]
138,10,배곧 양푼애등갈비,블로그 리뷰,[맛알못의 고양과목] 시흥에서 매운등갈비는? : 양푼애등갈비 ,4,0,11,6,[]
139,11,배곧 양푼애등갈비,블로그 리뷰,[시흥맛집] 시흥 정왕동 맛집/배곧신도시 맛집 양푼애등갈비,18,10,14,7232,[]
140,12,배곧 양푼애등갈비,블로그 리뷰,양푼애등갈비 배곧 인생맛집 찾았다,5,4,7,221,"['배', '한참']"
141,13,배곧 양푼애등갈비,블로그 리뷰,배곧 고깃집 아주 유명한 등갈비집,10,2,25,2915,[]
142,14,배곧 양푼애등갈비,블로그 리뷰,맛집 :: 양푼애등갈비 / 안산 맛집이 배곧에도!,8,3,10,152,[]
143,15,배곧 양푼애등갈비,블로그 리뷰,매콤달달했던 배곧 고깃집 ,2,1,28,103,"['지난', '정기', '만나는']"
144,16,배곧 양푼애등갈비,블로그 리뷰,배곧 데이트코스 맛있어요~,6,4,26,256,"['오랜', '애인']"
145,17,배곧 양푼애등갈비,블로그 리뷰,[배곧 등갈비 맛집 추천]양푼애 등갈비 메밀전 곤드레밥 강추!,12,11,29,1625,[]
146,18,배곧 양푼애등갈비,블로그 리뷰,"배곧 등갈비, 양푼애등갈비 대만족",11,12,23,101,[]
147,19,배곧 양푼애등갈비,블로그 리뷰,시흥 정왕동 배곧 맛집! 양푼애등갈비 후기!,42,47,9,799,[]
148,20,배곧 양푼애등갈비,블로그 리뷰,"시흥 배곧 _ 양푼애등갈비 (양푼등갈비, 곤드레나물밥)",5,2,18,101,"['안녕하십니까', '쵸']"
